evidence_id,control_id,evidence_name,source_system,owner,last_collected_date,next_due_date,days_until_due,freshness_status
EVID-004,CTRL-003,Asset inventory export for critical systems,CMDB,IT Operations,2026-02-03,2026-05-03,-82,Stale
EVID-005,CTRL-003,Ownership review sign-off for asset inventory,Ticketing Platform,IT Operations,2025-11-01,2026-02-01,-173,Stale
EVID-006,CTRL-004,Monthly access change report,Identity Provider,IT Operations,2026-02-01,2026-03-01,-145,Stale
EVID-007,CTRL-004,Sample joiner/mover/leaver tickets,Ticketing Platform,IT Operations,2025-12-15,2026-03-15,-131,Stale
EVID-008,CTRL-005,Privileged account review workbook,Identity Provider,Security Operations,2025-10-20,2026-01-20,-185,Stale
EVID-009,CTRL-006,MFA coverage report for workforce accounts,Identity Provider,IT Operations,2026-02-10,2026-03-10,-136,Stale
EVID-010,CTRL-007,Monthly SIEM alert review log,SIEM,Security Operations,2026-01-29,2026-02-28,-146,Stale
EVID-011,CTRL-008,Monthly vulnerability scan summary,Vulnerability Scanner,Security Operations,2026-02-25,2026-03-25,-121,Stale
EVID-012,CTRL-008,Remediation tracking sheet for high vulnerabilities,Ticketing Platform,Security Operations,2026-02-27,2026-03-27,-119,Stale
EVID-013,CTRL-009,Configuration baseline documentation,Document Repository,Cloud Infrastructure,2025-09-30,2026-03-30,-116,Stale
EVID-014,CTRL-009,Sample configuration compliance report,Cloud Logs,Cloud Infrastructure,2025-10-15,2026-01-15,-190,Stale
EVID-015,CTRL-010,Change ticket sample set with approvals,Ticketing Platform,Engineering,2026-02-05,2026-03-05,-141,Stale
EVID-016,CTRL-011,Backup status report for core databases,Backup Platform,Cloud Infrastructure,2026-01-20,2026-04-20,-95,Stale
EVID-018,CTRL-012,Corrective action tracker export,Document Repository,Security Compliance,2026-02-14,2026-03-14,-132,Stale
EVID-019,CTRL-013,Vendor inventory and tiering report,Vendor Management Portal,Security Compliance,2026-01-31,2026-04-30,-85,Stale
EVID-021,CTRL-014,Privacy request log export,Privacy Tracker,Legal Privacy,2026-02-18,2026-03-18,-128,Stale
EVID-022,CTRL-014,Data retention schedule,Document Repository,Legal Privacy,2025-08-01,2026-08-01,8,Due Soon
EVID-024,CTRL-015,Phishing campaign summary,Security Awareness Platform,Security Operations,2026-01-22,2026-04-22,-93,Stale
EVID-025,CTRL-016,Evidence inventory export,Document Repository,Security Compliance,2026-02-10,2026-03-10,-136,Stale
EVID-026,CTRL-017,BCP test report,Business Continuity Platform,Business Continuity,2025-10-28,2026-04-28,-87,Stale
EVID-027,CTRL-018,Trust center artifact inventory,Document Repository,Security Compliance,2026-01-15,2026-04-15,-100,Stale
EVID-035,CTRL-004,Access review report - supporting log extract,SIEM,IT Operations,2026-06-08,2026-07-08,-16,Stale
EVID-037,CTRL-005,Privileged access review report - supporting log extract,Vulnerability Scanner,Security Operations,2026-05-09,2026-08-07,14,Due Soon
EVID-040,CTRL-007,SIEM alert review evidence - primary evidence export,Document Repository,Security Operations,2026-06-08,2026-07-08,-16,Stale
EVID-041,CTRL-007,SIEM alert review evidence - supporting log extract,SIEM,Security Operations,2026-07-06,2026-08-05,12,Due Soon
EVID-042,CTRL-008,Vulnerability scan summary - primary evidence export,Cloud Logs,Security Operations,2026-06-19,2026-07-19,-5,Stale
EVID-043,CTRL-008,Vulnerability scan summary - supporting log extract,Identity Provider,Security Operations,2026-06-11,2026-07-11,-13,Stale
EVID-045,CTRL-009,Configuration baseline review - supporting log extract,Security Awareness Platform,Cloud Infrastructure,2026-05-09,2026-08-07,14,Due Soon
EVID-046,CTRL-010,Change ticket sample - primary evidence export,Backup Platform,Engineering,2026-06-26,2026-07-26,2,Due Soon
EVID-047,CTRL-010,Change ticket sample - supporting log extract,Vendor Management Portal,Engineering,2026-07-07,2026-08-06,13,Due Soon
EVID-048,CTRL-011,Backup status report - primary evidence export,Document Repository,Cloud Infrastructure,2026-05-07,2026-08-05,12,Due Soon
EVID-049,CTRL-011,Backup status report - supporting log extract,Vulnerability Scanner,Cloud Infrastructure,2026-04-09,2026-07-08,-16,Stale
EVID-050,CTRL-012,Corrective action tracker - primary evidence export,Privacy Tracker,Security Compliance,2026-06-05,2026-07-05,-19,Stale
EVID-051,CTRL-012,Corrective action tracker - supporting log extract,Document Repository,Security Compliance,2026-06-10,2026-07-10,-14,Stale
EVID-052,CTRL-013,Vendor inventory - primary evidence export,Privacy Tracker,Procurement,2026-04-08,2026-07-07,-17,Stale
EVID-055,CTRL-014,Privacy request log - supporting log extract,Backup Platform,Legal Privacy,2026-06-14,2026-07-14,-10,Stale
EVID-057,CTRL-015,Training completion report - supporting log extract,Backup Platform,HR,2026-04-09,2026-07-08,-16,Stale
EVID-058,CTRL-016,Evidence inventory - primary evidence export,SIEM,Security Compliance,2026-06-30,2026-07-30,6,Due Soon
EVID-059,CTRL-016,Evidence inventory - supporting log extract,Document Repository,Security Compliance,2026-06-10,2026-07-10,-14,Stale
EVID-061,CTRL-017,BCP test summary - supporting log extract,Vendor Management Portal,Business Continuity,2025-12-24,2026-06-24,-30,Stale
EVID-067,CTRL-020,Network segmentation diagram - supporting log extract,Security Awareness Platform,Cloud Infrastructure,2026-04-03,2026-07-02,-22,Stale
EVID-068,CTRL-021,Code review records - primary evidence export,Privacy Tracker,Engineering,2026-06-15,2026-07-15,-9,Stale
EVID-069,CTRL-021,Code review records - supporting log extract,Security Awareness Platform,Engineering,2026-06-14,2026-07-14,-10,Stale
EVID-074,CTRL-024,API gateway configuration export - primary evidence export,Backup Platform,Engineering,2026-06-14,2026-07-14,-10,Stale
EVID-075,CTRL-024,API gateway configuration export - supporting log extract,Vulnerability Scanner,Engineering,2026-07-08,2026-08-07,14,Due Soon
EVID-080,CTRL-027,Fraud rule tuning log - primary evidence export,Privacy Tracker,Security Operations,2026-06-05,2026-07-05,-19,Stale
EVID-081,CTRL-027,Fraud rule tuning log - supporting log extract,Vulnerability Scanner,Security Operations,2026-06-30,2026-07-30,6,Due Soon
EVID-084,CTRL-029,UBA alert review log - primary evidence export,Vulnerability Scanner,Security Operations,2026-06-13,2026-07-13,-11,Stale
EVID-085,CTRL-029,UBA alert review log - supporting log extract,Backup Platform,Security Operations,2026-06-07,2026-07-07,-17,Stale
EVID-088,CTRL-031,Remote access log - primary evidence export,HRIS,IT Operations,2026-05-06,2026-08-04,11,Due Soon
EVID-090,CTRL-032,DLP incident report - primary evidence export,SIEM,Security Operations,2026-07-07,2026-08-06,13,Due Soon
EVID-091,CTRL-032,DLP incident report - supporting log extract,HRIS,Security Operations,2026-06-26,2026-07-26,2,Due Soon
EVID-094,CTRL-034,Secrets vault access report - primary evidence export,Vendor Management Portal,Cloud Infrastructure,2026-05-01,2026-07-30,6,Due Soon
EVID-096,CTRL-035,Container scan report - primary evidence export,Cloud Logs,Cloud Infrastructure,2026-07-03,2026-08-02,9,Due Soon
EVID-097,CTRL-035,Container scan report - supporting log extract,Cloud Infrastructure Console,Cloud Infrastructure,2026-05-30,2026-06-29,-25,Stale
EVID-098,CTRL-036,SBOM export - primary evidence export,Security Awareness Platform,Engineering,2026-04-25,2026-07-24,0,Due Soon
EVID-099,CTRL-036,SBOM export - supporting log extract,SIEM,Engineering,2026-05-04,2026-08-02,9,Due Soon
EVID-101,CTRL-037,Data residency attestation - supporting log extract,Document Repository,Legal Privacy,2026-01-30,2026-07-31,7,Due Soon
EVID-102,CTRL-038,Mobile app security test report - primary evidence export,SIEM,Engineering,2026-03-31,2026-06-29,-25,Stale
EVID-105,CTRL-039,Email authentication config report - supporting log extract,HRIS,IT Operations,2026-04-04,2026-07-03,-21,Stale
EVID-111,CTRL-042,Bug bounty submission log - supporting log extract,Security Awareness Platform,Security Compliance,2026-04-13,2026-07-12,-12,Stale
EVID-117,CTRL-045,Steering committee meeting minutes - supporting log extract,Ticketing Platform,Executive Leadership,2026-04-23,2026-07-22,-2,Stale
EVID-120,CTRL-047,Contractor access review report - primary evidence export,Vendor Management Portal,IT Operations,2026-04-01,2026-06-30,-24,Stale
EVID-121,CTRL-047,Contractor access review report - supporting log extract,Identity Provider,IT Operations,2026-04-26,2026-07-25,1,Due Soon
EVID-122,CTRL-048,KPI dashboard export - primary evidence export,Ticketing Platform,Security Compliance,2026-06-23,2026-07-23,-1,Stale
EVID-124,CTRL-049,Step-up authentication trigger log - primary evidence export,Vendor Management Portal,Engineering,2026-07-06,2026-08-05,12,Due Soon
EVID-125,CTRL-049,Step-up authentication trigger log - supporting log extract,Privacy Tracker,Engineering,2026-06-29,2026-07-29,5,Due Soon
EVID-126,CTRL-050,Backup encryption config - primary evidence export,Cloud Infrastructure Console,Cloud Infrastructure,2026-05-05,2026-08-03,10,Due Soon
EVID-130,CTRL-052,Offboarding ticket sample - primary evidence export,Vendor Management Portal,IT Operations,2026-06-21,2026-07-21,-3,Stale
EVID-131,CTRL-052,Offboarding ticket sample - supporting log extract,Ticketing Platform,IT Operations,2026-06-22,2026-07-22,-2,Stale
EVID-133,CTRL-053,Threat intel feed integration log - supporting log extract,Vulnerability Scanner,Security Operations,2026-06-22,2026-07-22,-2,Stale
EVID-136,CTRL-055,Resource tagging compliance report - primary evidence export,Cloud Infrastructure Console,Cloud Infrastructure,2026-04-30,2026-07-29,5,Due Soon
EVID-145,CTRL-059,Privacy-by-design review checklist sample - supporting log extract,Ticketing Platform,Legal Privacy,2026-04-05,2026-07-04,-20,Stale
EVID-146,CTRL-060,Tabletop exercise report - primary evidence export,SIEM,Security Compliance,2026-01-31,2026-08-01,8,Due Soon
EVID-148,CTRL-061,SaaS security posture scan report - primary evidence export,CMDB,IT Operations,2026-06-03,2026-07-03,-21,Stale
EVID-149,CTRL-061,SaaS security posture scan report - supporting log extract,Identity Provider,IT Operations,2026-06-07,2026-07-07,-17,Stale
