exec_rank,risk_id,risk_title,category,likelihood,impact,inherent_score,control_strength,residual_score,risk_level,treatment_plan,owner,target_date,days_to_target,treatment_overdue,treatment_urgency_score,executive_attention_flag,status
1,RISK-001,Unauthorized access due to weak access controls,Access Management,4,5,20,Moderate,12,High,Strengthen access workflows and increase review frequency,IT Operations,2026-06-30,-24,True,17,True,In Progress
2,RISK-003,Insufficient logging leading to delayed incident detection,Monitoring,3,4,12,Moderate,8,Medium,Expand logging coverage and tune alerting thresholds,Security Operations,2026-05-31,-54,True,13,False,In Progress
3,RISK-011,Ransomware attack disrupting core banking availability,Cyber Security,3,5,15,Weak,13,High,Implement enhanced controls and monitoring to reduce cyber security exposure,Security Operations,2026-11-02,101,False,13,False,Open
4,RISK-002,Data breach from misconfigured cloud services,Cloud Security,3,5,15,Weak,12,High,Implement hardened baselines and configuration monitoring,Cloud Infrastructure,2026-09-30,68,False,12,False,Open
5,RISK-008,Outdated security policies misaligned with current environment,Governance,2,4,8,Weak,6,Medium,Update core policies and establish annual review calendar,Security Compliance,2026-05-15,-70,True,11,False,In Progress
6,RISK-005,Failure to meet PIPEDA access request timelines,Privacy,2,4,8,Moderate,6,Medium,Formalize DSAR workflow and implement SLA monitoring,Legal Privacy,2026-04-30,-85,True,11,False,In Progress
7,RISK-012,AML transaction monitoring model failing to detect emerging typologies,Model Risk,3,5,15,Moderate,10,High,Implement enhanced controls and monitoring to reduce model risk exposure,Security Compliance,2026-10-24,92,False,10,False,Open
8,RISK-004,Vendor compromise impacting customer data,Third-Party Risk,3,5,15,Moderate,10,High,Enhance vendor due diligence and implement stricter contract clauses,Security Compliance,2026-08-31,38,False,10,False,Open
9,RISK-019,Credential stuffing attack against customer digital banking accounts,Cyber Security,4,4,16,Moderate,10,High,Implement enhanced controls and monitoring to reduce cyber security exposure,Security Operations,2026-11-18,117,False,10,False,In Progress
10,RISK-015,Open banking API partner exposing customer data through weak controls,Third-Party Risk,3,4,12,Weak,10,High,Implement enhanced controls and monitoring to reduce third-party risk exposure,Security Compliance,2026-12-27,156,False,10,False,In Progress
11,RISK-023,Regulatory change management gap for new DOJ Data Security Program rules,Regulatory,3,4,12,Weak,10,High,Implement enhanced controls and monitoring to reduce regulatory exposure,Legal Privacy,2026-09-13,51,False,10,False,In Progress
12,RISK-021,Delayed detection of cloud storage misconfiguration exposing data,Cloud Security,3,4,12,Weak,10,High,Implement enhanced controls and monitoring to reduce cloud security exposure,Cloud Infrastructure,2027-01-12,172,False,10,False,Open
13,RISK-009,Unresolved audit findings accumulating,Compliance,3,4,12,Moderate,9,Medium,Implement structured corrective action tracking and escalation,Security Compliance,2026-10-31,99,False,9,False,Open
14,RISK-017,Key person dependency in compliance and audit functions,Operational,3,3,9,Weak,8,Medium,Implement enhanced controls and monitoring to reduce operational exposure,Executive Leadership,2026-10-16,84,False,8,False,In Progress
15,RISK-028,Phishing-driven account takeover of employee credentials,Awareness,3,4,12,Moderate,8,Medium,Implement enhanced controls and monitoring to reduce awareness exposure,HR,2026-12-15,144,False,8,False,Open
16,RISK-027,Customer data exposure through misconfigured SaaS application,Cloud Security,3,4,12,Moderate,8,Medium,Implement enhanced controls and monitoring to reduce cloud security exposure,IT Operations,2027-02-04,195,False,8,False,Open
17,RISK-024,Supply chain attack via compromised open-source dependency,Application Security,2,5,10,Weak,8,Medium,Implement enhanced controls and monitoring to reduce application security exposure,Engineering,2027-02-23,214,False,8,False,Open
18,RISK-016,Mobile banking application vulnerability exploited by attackers,Application Security,3,4,12,Moderate,8,Medium,Implement enhanced controls and monitoring to reduce application security exposure,Engineering,2026-10-08,76,False,8,False,Open
19,RISK-026,Contractor access not revoked promptly after engagement end,Access Management,3,3,9,Weak,8,Medium,Implement enhanced controls and monitoring to reduce access management exposure,IT Operations,2027-02-15,206,False,8,False,Open
20,RISK-010,Key control owners overloaded,Operational,3,3,9,Moderate,7,Medium,Rebalance responsibilities and define backup owners,Executive Leadership,2026-09-30,68,False,7,False,Open
21,RISK-029,Inadequate breach notification readiness across jurisdictions,Regulatory,2,4,8,Weak,7,Medium,Implement enhanced controls and monitoring to reduce regulatory exposure,Legal Privacy,2026-09-15,53,False,7,False,In Progress
22,RISK-013,Concentration risk from single cloud infrastructure provider dependency,Operational,2,5,10,Moderate,6,Medium,Implement enhanced controls and monitoring to reduce operational exposure,Cloud Infrastructure,2027-01-15,175,False,6,False,Open
23,RISK-025,Business continuity failure during regional cloud outage,Business Continuity,2,5,10,Moderate,6,Medium,Implement enhanced controls and monitoring to reduce business continuity exposure,Cloud Infrastructure,2026-12-26,155,False,6,False,In Progress
24,RISK-014,Insider misuse of privileged access to customer financial data,Access Management,2,5,10,Moderate,6,Medium,Implement enhanced controls and monitoring to reduce access management exposure,Security Operations,2026-11-17,116,False,6,False,Open
25,RISK-007,Security awareness fatigue leading to phishing success,Awareness,3,3,9,Moderate,6,Medium,Rotate training content and simulate realistic phishing,HR,2026-07-31,7,False,6,False,In Progress
26,RISK-020,Third-party vendor concentration in payment processing chain,Third-Party Risk,2,5,10,Moderate,6,Medium,Implement enhanced controls and monitoring to reduce third-party risk exposure,Procurement,2027-01-22,182,False,6,False,In Progress
27,RISK-006,Incomplete backup and recovery for critical systems,Business Continuity,2,5,10,Strong,5,Medium,Increase restore testing frequency and document results,Cloud Infrastructure,2026-12-31,160,False,5,False,Open
28,RISK-018,Cross-border data transfer non-compliance with residency commitments,Privacy,2,4,8,Moderate,5,Medium,Implement enhanced controls and monitoring to reduce privacy exposure,Legal Privacy,2027-03-15,234,False,5,False,In Progress
29,RISK-022,Fraud model bias resulting in inequitable customer treatment,Model Risk,2,4,8,Moderate,5,Medium,Implement enhanced controls and monitoring to reduce model risk exposure,Security Compliance,2027-01-02,162,False,5,False,In Progress
30,RISK-030,Data quality issues undermining regulatory report accuracy,Regulatory,2,3,6,Moderate,4,Low,Implement enhanced controls and monitoring to reduce regulatory exposure,Legal Privacy,2026-10-18,86,False,4,False,Open
