ca_id,source,related_item,root_cause,owner,opened_date,target_date,status,effectiveness_review
CA-001,Internal Audit,CTRL-005 Privileged Access Management,Lack of formalized review cadence and owner,Security Operations,2025-12-15,2026-03-31,In Progress,Pending post-remediation review
CA-002,Internal Audit,CTRL-009 Secure Configuration and Hardening,Legacy servers excluded from baseline rollout,Cloud Infrastructure,2025-11-30,2026-04-30,In Progress,Pending validation scan
CA-003,External Auditor,RISK-004 Vendor compromise impacting customer data,Vendor due diligence depth inconsistent for medium-tier vendors,Security Compliance,2026-01-10,2026-06-30,Open,Not started
CA-004,Management Review,CTRL-008 Vulnerability and Patch Management,Delayed patching for non-critical systems,Security Operations,2026-02-20,2026-05-20,Open,Not started
CA-005,Security Incident,CTRL-007 Logging and Security Monitoring,Alert triage backlog due to staffing constraints,Security Operations,2025-10-05,2026-02-28,Pending Validation,Follow-up monitoring shows improved response times
CA-006,Internal Audit,CTRL-012 Incident Response and Corrective Action Management,No documented effectiveness reviews for closed actions,Security Compliance,2026-02-25,2026-06-30,Open,Not started
CA-007,Regulatory Inquiry,CTRL-014 Privacy Request Handling,PIPEDA access request response exceeded 30-day timeline,Legal Privacy,2025-09-12,2026-03-31,In Progress,Planned review after three on-time DSAR cycles
CA-008,Internal Audit,CTRL-011 Backup Recovery and Resilience,No recent restore test for one secondary database,Cloud Infrastructure,2025-10-18,2026-03-31,In Progress,Pending successful recovery test
CA-009,Regulatory Inquiry,CTRL-028 AML and KYC Data Handling,Process gap identified in aml and kyc data handling operations,Legal Privacy,2026-01-29,2026-05-08,Pending Validation,Follow-up review scheduled
CA-010,Regulatory Inquiry,CTRL-003 Asset and Data Inventory Management,Process gap identified in asset and data inventory management operations,IT Operations,2026-04-03,2026-08-01,Pending Validation,Follow-up review scheduled
CA-011,Regulatory Inquiry,CTRL-042 Vulnerability Disclosure and Bug Bounty Program,Process gap identified in vulnerability disclosure and bug bounty program operations,Security Compliance,2026-03-22,2026-07-14,Pending Validation,Follow-up review scheduled
CA-012,Security Incident,CTRL-059 Data Minimization in Product Design,Process gap identified in data minimization in product design operations,Legal Privacy,2026-03-15,2026-06-28,Pending Validation,Follow-up review scheduled
CA-013,External Auditor,CTRL-019 Cryptography and Key Management,Process gap identified in cryptography and key management operations,Cloud Infrastructure,2026-02-12,2026-05-22,In Progress,Pending validation
CA-014,Management Review,CTRL-052 Employee Offboarding and Access Revocation,Process gap identified in employee offboarding and access revocation operations,IT Operations,2025-11-27,2026-04-28,Open,Pending validation
CA-015,External Auditor,CTRL-054 Data Subject Rights Fulfillment Controls,Process gap identified in data subject rights fulfillment controls operations,Legal Privacy,2025-11-27,2026-05-01,Pending Validation,Follow-up review scheduled
CA-016,Security Incident,CTRL-018 Customer Security Review and Trust Center Management,Process gap identified in customer security review and trust center management operations,Security Compliance,2026-01-03,2026-03-31,Pending Validation,Follow-up review scheduled
CA-017,Regulatory Inquiry,CTRL-034 Secrets and Credential Management,Process gap identified in secrets and credential management operations,Cloud Infrastructure,2026-02-15,2026-07-17,Pending Validation,Follow-up review scheduled
CA-018,Management Review,CTRL-049 Customer Authentication and Fraud Controls for Digital Channels,Process gap identified in customer authentication and fraud controls for digital channels operations,Engineering,2026-02-18,2026-05-01,Open,Pending validation
CA-019,Management Review,CTRL-032 Data Loss Prevention for Email and Endpoints,Process gap identified in data loss prevention for email and endpoints operations,Security Operations,2026-01-21,2026-05-07,Open,Pending validation
CA-020,External Auditor,CTRL-016 Audit Evidence Management and Control Testing,Process gap identified in audit evidence management and control testing operations,Security Compliance,2025-10-04,2026-03-03,Pending Validation,Follow-up review scheduled
